id,address,lat,lng,location,name,subCategory,popularity,numReviews
0,8 rue de Navarin,48.87961034,2.339382545,Paris,Hotel Amour,Hotel Bar,6,60
1,49 Rue Pierre Charron,48.86914551,2.302191252,Paris,Pershing Hall,Hotel,6,61
2,99 rue Oberkampf,48.8654975,2.3766887,Paris,Mecano-Bar,Bar,5,10
3,1 rue Theophile Roussel,48.8496227,2.377436674,Paris,Le Baron Rouge,Wine Bar,5,26
4,7-15 Avenue de la Porte de la Villette,48.89919848,2.386725849,Paris,Glazart,Music Venue,4,11
5,92 Boulevard de Clichy,48.88392639,2.332179572,Paris,O'Sullivan's by the mill : Backstage by the mill,Pub,7,19
6,1-5 passage Ruelle,48.88672444,2.358919278,Paris,Kube Hotel,Hotel,6,28
7,11 Quai Franeois Mauriac,48.83338223,2.379258871,Paris,Le Batofar,Bar,6,37
8,5 Rue Daunou,48.8692457,2.33217001,Paris,Harry's New York Bar,Cocktail Bar,6,69
9,16 rue des Quatre Vents,48.8518203,2.337739584,Paris,The Moose,Bar,5,61
10,25 Rue Frederic Sauton,48.850441,2.348763,Paris,The Long Hop,Sports Bar,5,11
11,77 rue Saint-Dominique,48.8598238,2.308675913,Paris,O'Brien's Irish Pub,Pub,4,14
12,5 Rue de Presbourg,48.87216179,2.295250931,Paris,Sir Winston,Pub,7,22
13,71 bd Gouvion Saint-Cyr,48.88006234,2.284812362,Paris,James Joyce Pub,Sports Bar,5,5
14,17 Rue de l'Ancienne Comedie,48.85287715,2.339070239,Paris,Pub Saint-Germain,Pub,6,67
15,8 rue Vandamme,48.83974854,2.322932584,Paris,La Pachanga,Nightclub,4,17
16,23 rue Gabrielle,48.885773,2.34061,Paris,Le Rendez-Vous des Amis,Bar,4,23
17,16 rue Dufrenoy,48.86593212,2.272182245,Paris,Oum El Banine,Bar,5,1
18,102 bis Rue de Bagnolet,48.8594041,2.402865448,Paris,La Fleche d'Or,Rock Club,6,29
19,10 Rue Mouffetard,48.844554,2.349542,Paris,Le Requin Chagrin,Bar,5,10
20,32 Rue Muller,48.886402,2.34514,Paris,Le Soleil de la Butte,Pub,5,11
21,142 Rue Montmartre,48.86894929,2.343091965,Paris,Social Club,Nightclub,6,60
22,Port de la Gare,48.83428909,2.377931616,Paris,Bateau El Alamein,Lounge,8,7
23,94 rue de Menilmontant,48.869173,2.391884,Paris,Le Cafe des Sports,Sports Bar,3,4
24,5 rue Trousseau,48.8511579,2.3786311,Paris,The Bottle Shop,Bar,5,11
25,7 Rue Moret,48.86669092,2.379827499,Paris,L'International,Rock Club,5,39
26,8 rue de Belleville,48.8724751,2.378046663,Paris,Aux Folies,Bar,5,31
27,49 rue de Ponthieu,48.871875,2.306279,Paris,Chez Regine,Nightclub,7,12
28,5 Boulevard Poissonniere,48.87077297,2.347450909,Paris,Rex Club,Nightclub,6,41
29,5 Passage Louis-Philippe,48.85409687,2.372903377,Paris,Cafe de la Danse,Music Venue,7,13
30,75 Rue des Martyrs,48.882337,2.33960887,Paris,Divan du Monde,Music Venue,5,24
31,102 Avenue des Champs-elysees,48.87184268,2.302472591,Paris,Le Queen,Nightclub,6,43
32,94 Rue Jean-Pierre Timbaud,48.86751124,2.377878052,Paris,Maison des Metallos,Music Venue,7,5
33,Place de la Madeleine,48.86975381,2.324273586,Paris,eglise de la Madeleine,Church,4,9
34,13 Quai de la Loire,48.88524889,2.373218536,Paris,Canal de l'Ourcq,Lake,7,3
35,20 Avenue Rachel,48.88754875,2.330431938,Paris,Cimetiere de Montmartre,Cemetery,6,6
36,Place Vendome,48.86746548,2.329423428,Paris,Place Vendome,Plaza,6,27
37,Bois de Vincennes,48.831165,2.42815,Paris,Bois de Vincennes,Park,7,25
38,Place de la Bourse,48.86915395,2.341343164,Paris,Palais Brongniart (Ancienne Bourse de Paris),Event Space,5,11
39,2 Place du Louvre,48.85951992,2.341305614,Paris,eglise Saint-Germain l'Auxerrois,Church,3,3
40,65 Quai d'Orsay,48.86236152,2.306742649,Paris,American Church in Paris,Temple,6,4
41,1 Place Alphonse Laveran,48.840575,2.341906,Paris,eglise du Val-de-Grece,Church,3,2
